iter	Logloss
0	0.6823455116
1	0.6741097376
2	0.6683483335
3	0.6604470203
4	0.6531329653
5	0.6429407458
6	0.6368194489
7	0.6292534437
8	0.6233912666
9	0.6147260179
10	0.6051989783
11	0.5990117292
12	0.5918714281
13	0.5842914172
14	0.5775129976
15	0.5712075716
16	0.5643667119
17	0.5592977316
18	0.5506236448
19	0.5459837648
20	0.5377465295
21	0.5308983675
22	0.5227482093
23	0.5191647105
24	0.5140986243
25	0.5089499302
26	0.5037688812
27	0.4980997261
28	0.4925186776
29	0.4853739241
30	0.4777756643
31	0.4709643785
32	0.4642438323
33	0.4599784949
34	0.4553196088
35	0.4520621073
36	0.4473264137
37	0.4434598852
38	0.4401035225
39	0.4359594738
40	0.4308248282
41	0.4258033265
42	0.4223272211
43	0.4163045109
44	0.4103646049
45	0.4061823883
46	0.4026436087
47	0.3998597449
48	0.3973073631
49	0.3945120342
50	0.3898308076
51	0.3840830155
52	0.3803792314
53	0.3752638332
54	0.3705236506
55	0.3661431977
56	0.3631965519
57	0.3599370423
58	0.358101172
59	0.3545149551
60	0.3511634915
61	0.3495889402
62	0.3458503954
63	0.3437412688
64	0.3409734806
65	0.3380617114
66	0.3346603239
67	0.3321672511
68	0.3295031211
69	0.326661599
70	0.323689331
71	0.3204600122
72	0.3175482975
73	0.3148773256
74	0.3119377034
75	0.3082881791
76	0.3044405814
77	0.3013302235
78	0.2995433571
79	0.2963381378
80	0.2945137505
81	0.2913161772
82	0.2889995508
83	0.2858517125
84	0.2842071854
85	0.2819517248
86	0.2800737205
87	0.2773032655
88	0.2748189423
89	0.2727416187
90	0.2695052593
91	0.2660158067
92	0.2637393808
93	0.2613688593
94	0.2593183968
95	0.2567952813
96	0.2548602
97	0.2531250721
98	0.2512792454
99	0.2498403585
100	0.2474995743
101	0.2453452135
102	0.2437106896
103	0.2417528201
104	0.2395222223
105	0.2365505754
106	0.2345933225
107	0.2324995308
108	0.2316645203
109	0.2300444352
110	0.2286099401
111	0.2266277322
112	0.225635852
113	0.2240025486
114	0.2219655253
115	0.2211425813
116	0.2190567811
117	0.2173334138
118	0.2163022898
119	0.2147181998
120	0.2130945279
121	0.2118960788
122	0.2100235338
123	0.2078432025
124	0.2070782296
125	0.2058517822
126	0.2036895724
127	0.2020692453
128	0.2006641624
129	0.1995316519
130	0.1980677863
131	0.1966679085
132	0.1952370825
133	0.1939679632
134	0.192757611
135	0.1909628331
136	0.1888237011
137	0.1877590265
138	0.186396875
139	0.1846998194
140	0.1834498519
141	0.1824648175
142	0.1813213631
143	0.1797477254
144	0.1786840023
145	0.1776126826
146	0.1766907719
147	0.1747072299
148	0.1736399505
149	0.1725712384
150	0.1717973217
151	0.1704637971
152	0.1693188033
153	0.1681242006
154	0.1668155977
155	0.166007058
156	0.1649600209
157	0.1641352049
158	0.1633077174
159	0.1624577101
160	0.1614811037
161	0.1604534507
162	0.1595774553
163	0.1590064233
164	0.1582941737
165	0.1568082618
166	0.1557823072
167	0.1550040801
168	0.1540418244
169	0.1531068456
170	0.1526401904
171	0.1520426057
172	0.1515046528
173	0.1508726585
174	0.1502839385
175	0.1494112626
176	0.1488954304
177	0.1483732476
178	0.1474326218
179	0.1464744854
180	0.1456173539
181	0.1446239159
182	0.1434891707
183	0.1430102484
184	0.1419984544
185	0.14163336
186	0.1409115091
187	0.1401383138
188	0.1394250426
189	0.1389038118
190	0.1383231731
191	0.1370978378
192	0.1364285757
193	0.1357874598
194	0.1350827384
195	0.1342901567
196	0.1333403615
197	0.1325352153
198	0.131936828
199	0.1312970532
200	0.1310831339
201	0.130359359
202	0.129752896
203	0.1291360861
204	0.1282761769
205	0.1276009828
206	0.1274815584
207	0.1267921424
208	0.1265233113
209	0.1260061781
210	0.1255949566
211	0.1250580496
212	0.1243639693
213	0.1235866558
214	0.1230747539
215	0.1224744731
216	0.1221840659
217	0.1215885136
218	0.1209822073
219	0.1202235161
220	0.1197873618
221	0.1191771586
222	0.1186469246
223	0.1182033232
224	0.1173632384
225	0.1169596296
226	0.116541519
227	0.1160932187
228	0.1158873601
229	0.1154135935
230	0.1147910915
231	0.1142490399
232	0.1138240641
233	0.1130077272
234	0.1129481187
235	0.1123638703
236	0.1119862109
237	0.111456367
238	0.1113193307
239	0.1112430157
240	0.1107265588
241	0.1104043425
242	0.1101226129
243	0.1092911722
244	0.1086940015
245	0.108330676
246	0.1077555454
247	0.1070666708
248	0.1064947874
249	0.1060938907
250	0.1056973001
251	0.1055198116
252	0.1053586945
253	0.1053036148
254	0.1047740127
255	0.1040804136
256	0.1036329264
257	0.1032249344
258	0.1029180864
259	0.1027282001
260	0.1023837297
261	0.1021601848
262	0.1015796617
263	0.1013564041
264	0.1012763532
265	0.1008950536
266	0.1003695846
267	0.09986228654
268	0.09976932163
269	0.09943375943
270	0.09916463265
271	0.09884525957
272	0.09834205854
273	0.09829731754
274	0.09796262176
275	0.09765794227
276	0.0973043075
277	0.09681872555
278	0.09640811373
279	0.0959062354
280	0.09555342092
281	0.09505022823
282	0.09499241811
283	0.09480374788
284	0.09451998142
285	0.09424269338
286	0.09374348323
287	0.0933013657
288	0.09297947339
289	0.09272029405
290	0.09256376864
291	0.09229825871
292	0.09211201712
293	0.09200375341
294	0.09163383504
295	0.0914290935
296	0.09103378216
297	0.09091599227
298	0.09058502059
299	0.09015341405
